All sixty stage-specific outputs

Six snapshots per case, S0–S5. Planned later steps exist here for implementation but must not leak into earlier user exports.

Case | Step | Exact question / action | Expected output | Scope predicate | Customer N | Snapshot ID | Chart specification | Export requirement | Source
C09 | S0 | Open card / carried context | Salary-to-pension affordability: 15 of 100 eligible observations meet the issue rule, versus 3 of 100 in the comparator (5.00×; +12.0 percentage points). Affected gross exposure is SAR 2,295,469. For the same current issue customers, published synthetic ECL moves from SAR 34,146 to SAR 264,800. Comparable forward PD rises from 2.5% to 9.5% on 15 non-impaired issue customers. Behavioral score moves from 678.8 to 538.8; the original application score stays immutable. These are calibration fixtures, not bank performance estimates. | Current issue predicate | 15 | CPRA-C09-S0-20260831-v1 | Issue trend + score and ECL panels | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R07
C09 | S1 | Show the verified transition-date ladder and pension projections; separate contracts with an affordable step-down from unchanged payments. | Fifteen potential gaps include two unverified pension projections. Thirteen have documented amounts; eleven also lack an adequate contractual step-down or alternative verified resources. Age is not the mechanism. Verify the actual pension amount, other income and existing payment-step-down provisions first. | Detailed evidence subgroup | 13 | CPRA-C09-S1-20260831-v1 | Disaggregation table + comparable trend or maturity ladder | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R07
C09 | S2 | Inspect the original salary/pension affordability assumptions and the new documented income, not age as a stand-alone risk proxy. | Keep the S1 set of 13 IDs fixed. The demonstration behavioral-score change is 140 adverse points, while their original application values do not change. The pocket’s original internal score is around 687; compare its distribution with the matched controls near 690. Keep score model versions, cohort coverage and default status visible. | Same S1 IDs; historical match | 13 | CPRA-C09-S2-20260831-v1 | Matched score distribution + transition/trajectory chart | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R07
C09 | S3 | Decompose the changed repayment capacity into verified pension, other income, obligations and contract step-down. Which changes are compulsory versus voluntary? | Recurring income changes from SAR 12,000 to SAR 7,600 while the scheduled SAR 3,600 payment is unchanged: about 47.4% of income. Apply the specific pension and affordability rules; do not characterize all pensioners as high risk. | Corroborated evidence subgroup | 11 | CPRA-C09-S3-20260831-v1 | Variable point waterfall / ECL driver bridge + feature timelines | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R07
C09 | S4 | Compare documented transition cohorts by payment profile and replacement-income ratio, excluding already-affordable adjusted contracts. | The named pocket contains 25 of 100 eligible observations (25%) and 12 of 15 issue cases (80.0%). Its issue incidence is 48.0%, versus 4.0% outside, a 12.00× rate ratio. Narrow the corroborated list to 11 policy-review customers. The actionable pocket is a verified cash-flow mismatch, not a demographic label. Keep the policy’s effective dates and contractual rights visible. | Corroborated AND named pocket | 11 | CPRA-C09-S4-20260831-v1 | Normalized pocket incidence + within-pocket score/feature bands | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R07
C09 | S5 | What should we do next? Give a sequenced action plan linked to the applicable policy clauses. | 1. Servicing validates the documented transition and any contractual step-down before the first pension payment cycle. 2. Assess the applicable changed-circumstances and affordability rules; offer permitted sustainable arrangements with required customer choice/consent. 3. NEW lending must assess documented transition cash flows across the term, not current salary alone. Track the first pension payment cycles and arrangement sustainability. Rebuild permitted installment/tenor schedules using documented pension income. Include modification accounting and duration effects; no automatic cure assumption. | Same S4 policy-review scope | 11 | CPRA-C09-S5-20260831-v1 | Policy action table + scenario inputs and tradeoffs | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R02,R03,R07
C10 | S0 | Open card / carried context | Restructure redefault and cure governance: 17 of 100 eligible observations meet the issue rule, versus 5 of 100 in the comparator (3.40×; +12.0 percentage points). Affected gross exposure is SAR 2,118,981. For the same current issue customers, published synthetic ECL moves from SAR 219,503 to SAR 1,531,407. All issue customers are already credit-impaired: a forward PD comparison for that issue cohort is not applicable; show stage/default and recovery instead. Behavioral score moves from 649.1 to 519.1; the original application score stays immutable. These are calibration fixtures, not bank performance estimates. | Current issue predicate | 17 | CPRA-C10-S0-20260831-v1 | Issue trend + score and ECL panels | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C10 | S1 | Match restructures at six months of observation, then split redefaults by payment holiday, installment relief and cure evidence. | Seventeen redefaults out of 100 mature arrangements compare with five in the reference window. Fourteen follow the payment-holiday strategy; twelve lack credible sustained-affordability evidence. Exclude immature arrangements. Different observation windows or prematurely changed stage labels can distort the result. Validate actual cash payments and maturity first. | Detailed evidence subgroup | 14 | CPRA-C10-S1-20260831-v1 | Disaggregation table + comparable trend or maturity ladder | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C10 | S2 | Compare original underwriting, restructure-time affordability and subsequent behavior. What evidence justified the cure or stage decision? | Keep the S1 set of 14 IDs fixed. The demonstration behavioral-score change is 130 adverse points, while their original application values do not change. The pocket’s original internal score is around 672; compare its distribution with the matched controls near 690. Keep score model versions, cohort coverage and default status visible. | Same S1 IDs; historical match | 14 | CPRA-C10-S2-20260831-v1 | Matched score distribution + transition/trajectory chart | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C10 | S3 | Trace holiday expiry, residual budgets and broken commitments before redefault; evaluate the cure decision against the policy then in force. | Only one of three scheduled payments is met and residual funds fall from SAR 1,700 to SAR 150 in the demonstrated pocket. A restructure is not automatically a cure. The bank’s observation/cure rules apply; no universal IFRS9 three-payment probation is invented. | Corroborated evidence subgroup | 12 | CPRA-C10-S3-20260831-v1 | Variable point waterfall / ECL driver bridge + feature timelines | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C10 | S4 | Which restructure strategy and approval exception produces excess redefault after matching distressed vintages and initial severity? | The named pocket contains 25 of 100 eligible observations (25%) and 14 of 17 issue cases (82.4%). Its issue incidence is 56.0%, versus 4.0% outside, a 14.00× rate ratio. Narrow the corroborated list to 12 policy-review customers. Use documented sustainability and strategy rather than forcing a subproduct story. Current defaults must remain distinct from still-performing forward risk. | Corroborated AND named pocket | 12 | CPRA-C10-S4-20260831-v1 | Normalized pocket incidence + within-pocket score/feature bands | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
C10 | S5 | What should we do next? Give a sequenced action plan linked to the applicable policy clauses. | 1. Credit/finance owners review cure and stage decisions, preserving the historical audit trail and assessing necessary corrections. 2. Consider sustainable individual arrangements and hardship treatment; do not grant another top-up merely to erase arrears. 3. Policy committee reviews cure evidence and monitoring requirements. Track sustained contractual performance and redefault; any allowance correction may increase ECL. Compare current booked allowance with policy-compliant staging/cash-flow corrections and sustainable arrangements. Show provisioning uplift honestly; never force every action to reduce loss. | Same S4 policy-review scope | 12 | CPRA-C10-S5-20260831-v1 | Policy action table + scenario inputs and tradeoffs | Export customers to Borrower 360 enabled; preserve visited-step cap | SYN; R01,R03,R07
